
MP7: 
| ImageID | Keypoints | Detector |
| 8 | AKAZE | 74.4316 | 3.11728 |
| 9 | AKAZE | 78.9045 | 2.99987 |
| 0 | BRISK | 42.0706 | 4.53496 |
| 1 | BRISK | 40.0879 | 4.56041 |
| 2 | BRISK | 41.2981 | 4.68061 |
| 3 | BRISK | 40.1829 | 4.71619 |
| 4 | BRISK | 40.6086 | 4.63093 |
| 5 | BRISK | 39.94 | 4.4658 |
| 6 | BRISK | 40.5893 | 4.48601 |
| 7 | BRISK | 39.1495 | 4.6126 |
| 8 | BRISK | 40.776 | 4.35738 |
| 9 | BRISK | 39.8261 | 4.44598 |
| 0 | FAST | 0.403687 | 1.06395 |
| 1 | FAST | 0.367188 | 1.09725 |
| 2 | FAST | 0.346793 | 1.17429 |
| 3 | FAST | 0.355192 | 1.03325 |
| 4 | FAST | 0.316149 | 1.03008 |
| 5 | FAST | 0.375669 | 1.12277 |
| 6 | FAST | 0.392347 | 1.11756 |
| 7 | FAST | 0.372133 | 1.08503 |
| 8 | FAST | 0.350245 | 1.20018 |
| 9 | FAST | 0.352435 | 1.15223 |
| 0 | HARRIS | 10.695 | 0.833667 |
| 1 | HARRIS | 10.3664 | 1.03305 |
| 2 | HARRIS | 10.3487 | 1.04139 |
| 3 | HARRIS | 10.6815 | 1.05334 |
| 4 | HARRIS | 10.5499 | 1.04965 |
| 5 | HARRIS | 10.509 | 1.03495 |
| 6 | HARRIS | 10.7827 | 1.0861 |
| 7 | HARRIS | 10.9476 | 1.23625 |
| 8 | HARRIS | 10.6085 | 1.15952 |
| 9 | HARRIS | 10.7792 | 1.11003 |
| 0 | ORB | 7.87659 | 4.74931 |
| 1 | ORB | 7.41815 | 4.64679 |
| 2 | ORB | 7.28244 | 4.54351 |
| 3 | ORB | 7.17514 | 4.96104 |
| 4 | ORB | 7.06167 | 4.40011 |
| 5 | ORB | 7.14348 | 4.79347 |
| 6 | ORB | 7.11167 | 4.62307 |
| 7 | ORB | 7.25278 | 4.88879 |
| 8 | ORB | 7.80711 | 4.86369 |
| 9 | ORB | 7.37438 | 4.66926 |
| 0 | SHITOMASI | 11.8953 | 1.11334 |
| 1 | SHITOMASI | 11.276 | 1.0836 |
| 2 | SHITOMASI | 12.4095 | 1.13566 |
| 3 | SHITOMASI | 12.0426 | 1.04211 |
| 4 | SHITOMASI | 11.3568 | 1.04779 |
| 5 | SHITOMASI | 11.6287 | 0.993823 |
| 6 | SHITOMASI | 11.5326 | 1.09306 |
| 7 | SHITOMASI | 11.6762 | 1.04332 |
| 8 | SHITOMASI | 12.0805 | 1.06917 |
| 9 | SHITOMASI | 11.9627 | 1.12584 |
|1 | SIFT | - | - |
|2 | SIFT | - | - |
|3 | SIFT | - | - |
|4 | SIFT | - | - |
|5 | SIFT | - | - |
|6 | SIFT | - | - |
|7 | SIFT | - | - |
|8 | SIFT | - | - |
|9 | SIFT | - | - |

MP9, Descriptor with timing:FREAK
| ImageID | Keypoint Detector | KeyPoints Time | Desription Time |
| 0 | AKAZE | 86.3883 | 43.129 |
| 1 | AKAZE | 77.1762 | 43.1564 |
